Date : 2020-07-25 23:24:16
Directory : /home/raphael/Projects/dopamine
Total : 165 files,  20366 codes, 521 comments, 1094 blanks, all 21981 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| /home/raphael/Projects/dopamine/src/app/components/color-scheme-switcher/color-scheme-switcher.component.ts       | TypeScript   |         18 |          0 |          4 |         22 |
| /home/raphael/Projects/dopamine/src/app/components/dialogs/confirmation-dialog/confirmation-dialog.component.html | HTML         |          8 |          0 |          0 |          8 |
| /home/raphael/Projects/dopamine/src/app/components/dialogs/confirmation-dialog/confirmation-dialog.component.scss | SCSS         |          0 |          0 |          1 |          1 |
| /home/raphael/Projects/dopamine/src/app/components/dialogs/confirmation-dialog/confirmation-dialog.component.ts   | TypeScript   |         15 |          0 |          3 |         18 |
| /home/raphael/Projects/dopamine/src/app/components/dialogs/dialog-header/dialog-header.component.html             | HTML         |          6 |          0 |          0 |          6 |
| /home/raphael/Projects/dopamine/src/app/components/dialogs/dialog-header/dialog-header.component.scss             | SCSS         |         17 |          0 |          2 |         19 |
| /home/raphael/Projects/dopamine/src/app/components/dialogs/dialog-header/dialog-header.component.ts               | TypeScript   |         15 |          0 |          4 |         19 |
| /home/raphael/Projects/dopamine/src/app/components/dialogs/error-dialog/error-dialog.component.html               | HTML         |          9 |          0 |          0 |          9 |
| /home/raphael/Projects/dopamine/src/app/components/dialogs/error-dialog/error-dialog.component.scss               | SCSS         |          0 |          0 |          1 |          1 |
| /home/raphael/Projects/dopamine/src/app/components/dialogs/error-dialog/error-dialog.component.ts                 | TypeScript   |         19 |          1 |          4 |         24 |
| /home/raphael/Projects/dopamine/src/app/components/loading/loading.component.html                                 | HTML         |         14 |          0 |          0 |         14 |
| /home/raphael/Projects/dopamine/src/app/components/loading/loading.component.scss                                 | SCSS         |          9 |          0 |          0 |          9 |
| /home/raphael/Projects/dopamine/src/app/components/loading/loading.component.ts                                   | TypeScript   |         28 |          0 |          5 |         33 |
| /home/raphael/Projects/dopamine/src/app/components/logo-full/logo-full.component.html                             | HTML         |          7 |          0 |          0 |          7 |
| /home/raphael/Projects/dopamine/src/app/components/logo-full/logo-full.component.scss                             | SCSS         |         37 |          0 |          7 |         44 |
| /home/raphael/Projects/dopamine/src/app/components/logo-full/logo-full.component.ts                               | TypeScript   |         15 |          0 |          6 |         21 |
| /home/raphael/Projects/dopamine/src/app/components/main/main.component.html                                       | HTML         |         10 |          0 |          0 |         10 |
| /home/raphael/Projects/dopamine/src/app/components/main/main.component.scss                                       | SCSS         |          0 |          0 |          1 |          1 |
| /home/raphael/Projects/dopamine/src/app/components/main/main.component.ts                                         | TypeScript   |         21 |          2 |          5 |         28 |
| /home/raphael/Projects/dopamine/src/app/components/step-indicator/step-indicator.component.html                   | HTML         |          6 |          0 |          1 |          7 |
| /home/raphael/Projects/dopamine/src/app/components/step-indicator/step-indicator.component.scss                   | SCSS         |         19 |          0 |          4 |         23 |
| /home/raphael/Projects/dopamine/src/app/components/step-indicator/step-indicator.component.ts                     | TypeScript   |         20 |          0 |          6 |         26 |
| /home/raphael/Projects/dopamine/src/app/components/welcome/welcome.component.html                                 | HTML         |        101 |          6 |          0 |        107 |
| /home/raphael/Projects/dopamine/src/app/components/welcome/welcome.component.scss                                 | SCSS         |         32 |          0 |          7 |         39 |
| /home/raphael/Projects/dopamine/src/app/components/welcome/welcome.component.ts                                   | TypeScript   |         45 |          0 |         11 |         56 |
| /home/raphael/Projects/dopamine/src/app/components/window-controls/window-controls.component.html                 | HTML         |         22 |          0 |          0 |         22 |
| /home/raphael/Projects/dopamine/src/app/components/window-controls/window-controls.component.scss                 | SCSS         |         10 |          0 |          2 |         12 |
| /home/raphael/Projects/dopamine/src/app/components/window-controls/window-controls.component.ts                   | TypeScript   |         44 |          0 |          8 |         52 |
| /home/raphael/Projects/dopamine/src/app/core/base/constants.ts                                                    | TypeScript   |         18 |          0 |          4 |         22 |
| /home/raphael/Projects/dopamine/src/app/core/base/contact-information.ts                                          | TypeScript   |          6 |          0 |          1 |          7 |
