"filename", "language", "JSON", "Markdown", "TypeScript", "YAML", "HTML", "SCSS", "XML", "Shell Script", "comment", "blank", "total"
"/home/raphael/Projects/dopamine/src/app/components/step-indicator/step-indicator.component.scss", "SCSS", 0, 0, 0, 0, 0, 19, 0, 0, 0, 4, 23
"/home/raphael/Projects/dopamine/src/app/components/step-indicator/step-indicator.component.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"/home/raphael/Projects/dopamine/src/app/components/welcome/welcome.component.html", "HTML", 0, 0, 0, 0, 101, 0, 0, 0, 6, 0, 107
"/home/raphael/Projects/dopamine/src/app/components/welcome/welcome.component.scss", "SCSS", 0, 0, 0, 0, 0, 32, 0, 0, 0, 7, 39
"/home/raphael/Projects/dopamine/src/app/components/welcome/welcome.component.ts", "TypeScript", 0, 0, 45, 0, 0, 0, 0, 0, 0, 11, 56
"/home/raphael/Projects/dopamine/src/app/components/window-controls/window-controls.component.html", "HTML", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 22
"/home/raphael/Projects/dopamine/src/app/components/window-controls/window-controls.component.scss", "SCSS", 0, 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"/home/raphael/Projects/dopamine/src/app/components/window-controls/window-controls.component.ts", "TypeScript", 0, 0, 44, 0, 0, 0, 0, 0, 0, 8, 52
"/home/raphael/Projects/dopamine/src/app/core/base/constants.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 4, 22
"/home/raphael/Projects/dopamine/src/app/core/base/contact-information.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"/home/raphael/Projects/dopamine/src/app/core/base/file-formats.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 2, 2, 10
"/home/raphael/Projects/dopamine/src/app/core/base/font-size.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"/home/raphael/Projects/dopamine/src/app/core/base/language.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"/home/raphael/Projects/dopamine/src/app/core/base/product-information.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"/home/raphael/Projects/dopamine/src/app/core/date-time.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 11, 4, 23
"/home/raphael/Projects/dopamine/src/app/core/io/desktop.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 5, 19
"/home/raphael/Projects/dopamine/src/app/core/io/file-system.ts", "TypeScript", 0, 0, 44, 0, 0, 0, 0, 0, 0, 14, 58
"/home/raphael/Projects/dopamine/src/app/core/logger.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"/home/raphael/Projects/dopamine/src/app/core/scheduling.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"/home/raphael/Projects/dopamine/src/app/core/settings/base-settings.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"/home/raphael/Projects/dopamine/src/app/core/settings/settings.ts", "TypeScript", 0, 0, 85, 0, 0, 0, 0, 0, 9, 25, 119
"/home/raphael/Projects/dopamine/src/app/core/timer.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 5, 19
"/home/raphael/Projects/dopamine/src/app/data/base-database-migrator.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/home/raphael/Projects/dopamine/src/app/data/database-factory.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 4, 20
"/home/raphael/Projects/dopamine/src/app/data/database-migrator.ts", "TypeScript", 0, 0, 81, 0, 0, 0, 0, 0, 0, 22, 103
"/home/raphael/Projects/dopamine/src/app/data/entities/folder.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"/home/raphael/Projects/dopamine/src/app/data/entities/track.ts", "TypeScript", 0, 0, 36, 0, 0, 0, 0, 0, 0, 2, 38
"/home/raphael/Projects/dopamine/src/app/data/migration.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"/home/raphael/Projects/dopamine/src/app/data/migrations/001-initial.ts", "TypeScript", 0, 0, 95, 0, 0, 0, 0, 0, 0, 12, 107
"/home/raphael/Projects/dopamine/src/app/data/repositories/base-folder-repository.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"/home/raphael/Projects/dopamine/src/app/data/repositories/base-track-repository.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"/home/raphael/Projects/dopamine/src/app/data/repositories/folder-repository.ts", "TypeScript", 0, 0, 39, 0, 0, 0, 0, 0, 0, 15, 54
"/home/raphael/Projects/dopamine/src/app/data/repositories/track-repository.ts", "TypeScript", 0, 0, 122, 0, 0, 0, 0, 0, 0, 25, 147
"/home/raphael/Projects/dopamine/src/app/directives/webview.directive.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 4, 11
"/home/raphael/Projects/dopamine/src/app/globalErrorHandler.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 0, 3, 7, 36
"/home/raphael/Projects/dopamine/src/app/services/appearance/appearance.service.ts", "TypeScript", 0, 0, 93, 0, 0, 0, 0, 0, 2, 26, 121
"/home/raphael/Projects/dopamine/src/app/services/appearance/base-appearance.service.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
